emoji,description,group,points,primary
😀,"grinning face",Smileys & Emotion,1F600,true
😃,"grinning face with big eyes",Smileys & Emotion,1F603,true
😄,"grinning face with smiling eyes",Smileys & Emotion,1F604,true
😁,"beaming face with smiling eyes",Smileys & Emotion,1F601,true
😆,"grinning squinting face",Smileys & Emotion,1F606,true
😅,"grinning face with sweat",Smileys & Emotion,1F605,true
🤣,"rolling on the floor laughing",Smileys & Emotion,1F923,true
😂,"face with tears of joy",Smileys & Emotion,1F602,true
🙂,"slightly smiling face",Smileys & Emotion,1F642,true
🙃,"upside-down face",Smileys & Emotion,1F643,true
🫠,"melting face",Smileys & Emotion,1FAE0,true
😉,"winking face",Smileys & Emotion,1F609,true
😊,"smiling face with smiling eyes",Smileys & Emotion,1F60A,true
😇,"smiling face with halo",Smileys & Emotion,1F607,true
🥰,"smiling face with hearts",Smileys & Emotion,1F970,true
😍,"smiling face with heart-eyes",Smileys & Emotion,1F60D,true
🤩,"star-struck",Smileys & Emotion,1F929,true
😘,"face blowing a kiss",Smileys & Emotion,1F618,true
😗,"kissing face",Smileys & Emotion,1F617,true
☺️,"smiling face",Smileys & Emotion,263A FE0F,false
😚,"kissing face with closed eyes",Smileys & Emotion,1F61A,true
😙,"kissing face with smiling eyes",Smileys & Emotion,1F619,true
🥲,"smiling face with tear",Smileys & Emotion,1F972,true
😋,"face savoring food",Smileys & Emotion,1F60B,true
😛,"face with tongue",Smileys & Emotion,1F61B,true
😜,"winking face with tongue",Smileys & Emotion,1F61C,true
🤪,"zany face",Smileys & Emotion,1F92A,true
😝,"squinting face with tongue",Smileys & Emotion,1F61D,true
🤑,"money-mouth face",Smileys & Emotion,1F911,true
🤗,"smiling face with open hands",Smileys & Emotion,1F917,true
🤭,"face with hand over mouth",Smileys & Emotion,1F92D,true
🫢,"face with open eyes and hand over mouth",Smileys & Emotion,1FAE2,true
🫣,"face with peeking eye",Smileys & Emotion,1FAE3,true
🤫,"shushing face",Smileys & Emotion,1F92B,true
🤔,"thinking face",Smileys & Emotion,1F914,true
🫡,"saluting face",Smileys & Emotion,1FAE1,true
🤐,"zipper-mouth face",Smileys & Emotion,1F910,true
🤨,"face with raised eyebrow",Smileys & Emotion,1F928,true
😐,"neutral face",Smileys & Emotion,1F610,true
😑,"expressionless face",Smileys & Emotion,1F611,true
😶,"face without mouth",Smileys & Emotion,1F636,true
🫥,"dotted line face",Smileys & Emotion,1FAE5,true
😶‍🌫️,"face in clouds",Smileys & Emotion,1F636 200D 1F32B FE0F,false
😏,"smirking face",Smileys & Emotion,1F60F,true
😒,"unamused face",Smileys & Emotion,1F612,true
🙄,"face with rolling eyes",Smileys & Emotion,1F644,true
😬,"grimacing face",Smileys & Emotion,1F62C,true
😮‍💨,"face exhaling",Smileys & Emotion,1F62E 200D 1F4A8,false
🤥,"lying face",Smileys & Emotion,1F925,true
