code,name,area
ABW,Aruba,180
AFE,Africa Eastern and Southern,15162005.87
AFG,Afghanistan,652860
AFW,Africa Western and Central,9166260
AGO,Angola,1246700
ALB,Albania,28750
AND,Andorra,470
ARB,Arab World,13166242.9
ARE,United Arab Emirates,98647.9
ARG,Argentina,2780400
ARM,Armenia,29740
ASM,American Samoa,200
ATG,Antigua and Barbuda,440
AUS,Australia,7741220
AUT,Austria,83879
AZE,Azerbaijan,86600
BDI,Burundi,27830
BEL,Belgium,30530
BEN,Benin,114760
BFA,Burkina Faso,274220
BGD,Bangladesh,147570
BGR,Bulgaria,111000
BHR,Bahrain,790
BHS,"Bahamas, The",13880
BIH,Bosnia and Herzegovina,51210
BLR,Belarus,207630
BLZ,Belize,22970
BMU,Bermuda,4290
BOL,Bolivia,1098580
BRA,Brazil,8515770
BRB,Barbados,430
BRN,Brunei Darussalam,5770
BTN,Bhutan,38390
BWA,Botswana,581730
CAF,Central African Republic,622980
CAN,Canada,15634410
CEB,Central Europe and the Baltics,1166811.04
CHE,Switzerland,41290.7
CHI,Channel Islands,198
CHL,Chile,756700
CHN,China,9562910
CIV,Cote d'Ivoire,322460
CMR,Cameroon,475440
COD,"Congo, Dem. Rep.",2344860
COG,"Congo, Rep.",342000
COL,Colombia,1140619.05
COM,Comoros,1861
CPV,Cabo Verde,4030
CRI,Costa Rica,51100
CSS,Caribbean small states,434990
CUB,Cuba,109880
CUW,Curacao,444
CYM,Cayman Islands,264
CYP,Cyprus,9250
CZE,Czechia,78871.04
DEU,Germany,357590
DJI,Djibouti,23200
DMA,Dominica,750
DNK,Denmark,42920
DOM,Dominican Republic,146839.31
DZA,Algeria,2381741
EAP,East Asia & Pacific (excluding high income),16276613.77
EAR,Early-demographic dividend,34243019.62
EAS,East Asia & Pacific,24830819.77
ECA,Europe & Central Asia (excluding high income),23233393
ECS,Europe & Central Asia,28813792.01
ECU,Ecuador,256370
EGY,"Egypt, Arab Rep.",1001450
EMU,Euro area,2760488.464
ERI,Eritrea,121630.327
ESP,Spain,505964.594
EST,Estonia,45340
ETH,Ethiopia,1136239.544
EUU,European Union,4254350.224
FCS,Fragile and conflict affected situations,20757138.87
FIN,Finland,338470
FJI,Fiji,18270
FRA,France,549086.87
FRO,Faroe Islands,12960
FSM,"Micronesia, Fed. Sts.",700
GAB,Gabon,267670
GBR,United Kingdom,243610
GEO,Georgia,69700
GHA,Ghana,238530
GIB,Gibraltar,10
GIN,Guinea,245860
GMB,"Gambia, The",11300
GNB,Guinea-Bissau,36130
GNQ,Equatorial Guinea,28050
GRC,Greece,131960
GRD,Grenada,340
